task,metric,stage_transition,pdk,value,kind,src_line
Total Area (u m^2),MAE,floorplan to detailed route,NG45,"1,781.97",VAL,14
Total Area (u m^2),MAE,floorplan to detailed route,SKY130,"18,567.03",VAL,14
Total Area (u m^2),MAE,floorplan to detailed route,IHP130,"48,738.62",VAL,14
Total Area (u m^2),MAE,floorplan to detailed route,ASAP7,225.06,VAL,14
Total Area (u m^2),MAE,global place to detailed route,NG45,871.07,VAL,14
Total Area (u m^2),MAE,global place to detailed route,SKY130,"8,385.61",VAL,14
Total Area (u m^2),MAE,global place to detailed route,IHP130,"35,724.45",VAL,14
Total Area (u m^2),MAE,global place to detailed route,ASAP7,73.79,VAL,14
Total Area (u m^2),MAE,detailed place to detailed route,NG45,571.13,VAL,14
Total Area (u m^2),MAE,detailed place to detailed route,SKY130,"7,505.03",VAL,14
Total Area (u m^2),MAE,detailed place to detailed route,IHP130,"19,487.21",VAL,14
Total Area (u m^2),MAE,detailed place to detailed route,ASAP7,47.23,VAL,14
Total Area (u m^2),MAE,CTS to detailed route,NG45,49.02,VAL,14
Total Area (u m^2),MAE,CTS to detailed route,SKY130,854.81,VAL,14
Total Area (u m^2),MAE,CTS to detailed route,IHP130,"2,339.67",VAL,14
Total Area (u m^2),MAE,CTS to detailed route,ASAP7,1.98,VAL,14
Total Area (u m^2),MAE,global route to detailed route,NG45,0.00,VAL,14
Total Area (u m^2),MAE,global route to detailed route,SKY130,0.00,VAL,14
Total Area (u m^2),MAE,global route to detailed route,IHP130,0.00,VAL,14
Total Area (u m^2),MAE,global route to detailed route,ASAP7,0.00,VAL,14
Total Area (u m^2),MAPE,floorplan to detailed route,NG45,12.43 %,VAL,15
Total Area (u m^2),MAPE,floorplan to detailed route,SKY130,22.51 %,VAL,15
Total Area (u m^2),MAPE,floorplan to detailed route,IHP130,20.74 %,VAL,15
Total Area (u m^2),MAPE,floorplan to detailed route,ASAP7,15.35 %,VAL,15
Total Area (u m^2),MAPE,global place to detailed route,NG45,7.07 %,VAL,15
Total Area (u m^2),MAPE,global place to detailed route,SKY130,11.71 %,VAL,15
Total Area (u m^2),MAPE,global place to detailed route,IHP130,13.60 %,VAL,15
Total Area (u m^2),MAPE,global place to detailed route,ASAP7,7.50 %,VAL,15
